Pearl Violet,#8673A1,134,115,161,51.55796432495117,11.075016975402832,-13.482643127441406
Pearl Black Berry,#6C6874,108,104,116,44.686767578125,0.29699814319610596,0.7336034178733826
Violet Blue,#354D73,53,77,115,32.15342712402344,-2.842796802520752,-18.317834854125977
Green Blue,#1F3438,31,52,56,20.06783676147461,-9.573925018310547,-1.1365383863449097
Ultramarine Blue,#20214F,32,33,79,14.87717056274414,9.811469078063965,-23.955739974975586
Saphire Blue,#1D1E33,29,30,51,11.982979774475098,2.984644651412964,-10.276638984680176
Black Blue,#18171C,24,23,28,8.021806716918945,0.23666886985301971,-0.5616536140441895
Signal Blue,#1E2460,30,36,96,16.80303955078125,12.531466484069824,-31.513290405273438
Brillant Blue,#3E5F8A,62,95,138,39.273048400878906,-5.057454586029053,-20.322834014892578
Grey Blue,#26252D,38,37,45,15.042823791503906,0.3541712462902069,-1.4920902252197266
Azure Blue,#025669,2,86,105,33.007843017578125,-19.566387176513672,-11.301265716552734
Gentian Blue,#0E294B,14,41,75,16.078872680664062,-1.4110270738601685,-19.54664421081543
Steel Blue,#231A24,35,26,36,10.709228515625,4.875355243682861,-1.9501420259475708
Light Blue,#3B83BD,59,131,189,52.209190368652344,-12.065587997436523,-28.010143280029297
Cobalt Blue,#1E213D,30,33,61,13.61012077331543,3.863011360168457,-14.352657318115234
Pigeon Blue,#606E8C,96,110,140,46.135040283203125,-3.0119247436523438,-10.601981163024902
Sky Blue,#2271B3,34,113,179,45.537071228027344,-8.704774856567383,-33.228126525878906
Traffic Blue,#063971,6,57,113,23.583271026611328,0.6093535423278809,-30.915916442871094
Turquoise Blue,#3F888F,63,136,143,52.31142044067383,-25.387128829956055,-3.0808193683624268
Capri Blue,#1B5583,27,85,131,34.258216857910156,-8.395703315734863,-24.355716705322266
Ocean Blue,#1D334A,29,51,74,20.286212921142578,-4.7701735496521,-12.219917297363281
Water Blue,#256D7B,37,109,123,42.11776351928711,-22.11745262145996,-7.574772357940674
Night Blue,#252850,37,40,80,17.553081512451172,6.678034782409668,-20.259857177734375
Distant Blue,#49678D,73,103,141,42.49142837524414,-5.898242473602295,-16.936885833740234
Pastel Blue,#5D9B9B,93,155,155,59.819637298583984,-24.56348991394043,1.8843046426773071
Pearl Gentian Blue,#2A6478,42,100,120,39.226234436035156,-17.292917251586914,-10.284602165222168
Pearl Night Blue,#102C54,16,44,84,17.73543930053711,0.06011218950152397,-22.57684898376465
Patina Green,#316650,49,102,80,39.06437301635742,-25.508995056152344,12.283044815063477
Emerald Green,#287233,40,114,51,42.36585235595703,-37.191734313964844,32.07069778442383
Leaf Green,#2D572C,45,87,44,33.0738639831543,-25.18990707397461,24.155485153198242
Olive Green,#424632,66,70,50,28.89000701904297,-6.973099708557129,15.613079071044922
Blue Green,#1F3A3D,31,58,61,22.381763458251953,-11.891364097595215,-0.8259020447731018
Moss Green,#2F4538,47,69,56,27.127607345581055,-13.504878997802734,9.316828727722168
Grey Olive,#3E3B32,62,59,50,24.954010009765625,-2.1479313373565674,10.111234664916992
Bottle Green,#343B29,52,59,41,23.78491973876953,-7.975253582000732,13.823559761047363
Brown Green,#39352A,57,53,42,22.316984176635742,-1.8383995294570923,11.292634010314941
Fir Green,#31372B,49,55,43,22.197649002075195,-6.6439032554626465,10.337601661682129
Grass Green,#35682D,53,104,45,39.371620178222656,-30.08493423461914,31.52283477783203
Reseda Green,#587246,88,114,70,45.09361267089844,-19.400970458984375,26.418506622314453
Black Green,#343E40,52,62,64,25.347822189331055,-6.004708290100098,1.9081106185913086
Reed Green,#6C7156,108,113,86,46.63279342651367,-8.928078651428223,20.201522827148438
Yellow Olive,#47402E,71,64,46,27.415925979614258,-1.5745056867599487,16.095237731933594
Black Olive,#3B3C36,59,60,54,25.067298889160156,-3.5611252784729004,7.768650054931641
Turquoise Green,#1E5945,30,89,69,33.58930206298828,-26.319358825683594,10.672811508178711
May Green,#4C9141,76,145,65,54.269142150878906,-38.30864715576172,40.22547912597656
Yellow Green,#57A639,87,166,57,61.40220260620117,-44.01519775390625,51.99304962158203
Pastel Green,#BDECB6,189,236,182,89.06317901611328,-28.370588302612305,31.07111358642578
Chrome Green,#2E3A23,46,58,35,22.808143615722656,-10.870386123657227,16.015260696411133
Pale Green,#89AC76,137,172,118,66.7049331665039,-24.048908233642578,31.17894172668457
Olive Drab,#25221B,37,34,27,13.372791290283203,-1.2012760639190674,8.07221508026123
Traffic Green,#308446,48,132,70,48.97284698486328,-40.07477569580078,30.96986961364746
Fern Green,#3D642D,61,100,45,38.439369201660156,-25.48371124267578,30.51822853088379
Opal Green,#015D52,1,93,82,34.737667083740234,-29.263715744018555,4.7161431312561035
Light Green,#84C3BE,132,195,190,74.43319702148438,-26.21931266784668,5.691781044006348
Pine Green,#2C5545,44,85,69,32.77535629272461,-20.663841247558594,9.605262756347656
Mint Green,#20603D,32,96,61,35.96595764160156,-30.397947311401367,18.53201675415039
Signal Green,#317F43,49,127,67,47.28968811035156,-38.28657913208008,30.34885025024414
Mint Turquoise,#497E76,73,126,118,48.93144607543945,-23.161930084228516,5.563979148864746
Pastel Turquoise,#7FB5B5,127,181,181,69.9317398071289,-22.572423934936523,3.589751958847046
Pearl Green,#1C542D,28,84,45,31.288877487182617,-28.703908920288086,21.1671199798584
Pearl Opal Green,#193737,25,55,55,20.7740535736084,-13.459202766418457,0.48962217569351196
Pure Green,#008F39,0,143,57,51.772972106933594,-51.33011245727539,40.388458251953125
Luminous Green,#00BB2D,0,187,45,66.35993194580078,-64.94575500488281,60.7622184753418
Squirrel Grey,#78858B,120,133,139,54.617919921875,-7.58473539352417,2.9358203411102295
Silver Grey,#8A9597,138,149,151,60.84965515136719,-7.747129917144775,5.900162696838379
Olive Grey,#7E7B52,126,123,82,51.0991096496582,-7.264766693115234,28.66907501220703
Moss Grey,#6C7059,108,112,89,46.38898849487305,-8.007884979248047,18.22490882873535
Signal Grey,#969992,150,153,146,62.815364837646484,-6.205478668212891,11.53775691986084
Mouse Grey,#646B63,100,107,99,44.42262649536133,-7.129518508911133,9.783225059509277
Beige Grey,#6D6552,109,101,82,43.1250114440918,-2.2916135787963867,17.59183120727539
Khaki Grey,#6A5F31,106,95,49,40.56779098510742,-3.2953591346740723,32.08805847167969
Green Grey,#4D5645,77,86,69,35.36517333984375,-8.942622184753418,13.647551536560059
Tarpaulin Grey,#4C514A,76,81,74,33.82067108154297,-5.779175758361816,8.528326988220215
Iron Grey,#434B4D,67,75,77,31.210643768310547,-5.3925042152404785,2.836763858795166
Basalt Grey,#4E5754,78,87,84,36.106689453125,-6.835464000701904,6.020770072937012
Brown Grey,#464531,70,69,49,28.94509506225586,-4.721907615661621,16.354379653930664
